age,overall,potential,age_potential_gap,is_at_peak,pace,shooting,passing,dribbling,defending,physic,position_group_GK,position_group_DEF,position_group_MID,position_group_ATT,log_value,short_name,market_value_eur,value_per_rating
20,52,65,13,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,12.04355959836804,A. Abaz,170000.0,3207.5471698113206
24,64,69,5,0,79.0,37.0,55.0,62.0,58.0,66.0,0,1,0,0,13.623139877437296,A. Abdallah,825000.0,12692.307692307691
32,65,65,0,1,49.0,53.0,56.0,51.0,65.0,71.0,0,1,0,0,13.07107218827772,A. Abdennour,475000.0,7196.969696969697
28,70,70,0,1,84.0,60.0,65.0,69.0,61.0,73.0,0,1,0,0,14.151983508870947,A. Abdi,1400000.0,19718.309859154928
21,58,67,9,0,58.0,57.0,39.0,59.0,19.0,59.0,0,0,0,1,13.017005083966255,A. Abdijanovic,450000.0,7627.118644067797
25,64,65,1,0,62.0,65.0,48.0,61.0,20.0,60.0,0,0,0,1,13.45883704259595,A. Abdu,700000.0,10769.23076923077
24,60,65,5,0,74.0,42.0,49.0,59.0,57.0,69.0,0,1,0,0,12.765691290604371,A. Abdugheni,350000.0,5737.704918032787
19,55,69,14,0,57.0,32.0,52.0,51.0,49.0,60.0,0,0,1,0,12.524530013005734,A. Abdulai,275000.0,4910.714285714285
18,50,68,18,0,67.0,48.0,42.0,52.0,18.0,42.0,0,0,0,1,11.695255355062795,A. Abdulraouf,120000.0,2352.9411764705883
19,53,63,10,0,55.0,38.0,49.0,54.0,42.0,48.0,0,0,1,0,12.206077645517674,A. Abdusalam,200000.0,3703.703703703704
29,70,71,1,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,13.997832948091215,A. Abedzadeh,1200000.0,16901.408450704224
24,64,68,4,0,72.0,42.0,52.0,59.0,58.0,75.0,0,1,0,0,13.560619598657233,A. Abeid,775000.0,11923.076923076924
25,55,57,2,0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,11.695255355062795,A. Abibi,120000.0,2142.8571428571427
18,58,75,17,0,70.0,49.0,54.0,65.0,19.0,36.0,0,0,1,0,13.171155446333852,A. Abid,525000.0,8898.305084745763
24,56,63,7,0,61.0,46.0,52.0,56.0,46.0,53.0,0,0,1,0,12.524530013005734,A. Abou,275000.0,4824.561403508772
23,65,74,9,0,47.0,31.0,46.0,51.0,66.0,64.0,0,1,0,0,14.220976332738882,A. Abqar,1500000.0,22727.272727272728
32,68,68,0,1,52.0,50.0,57.0,60.0,67.0,73.0,0,0,1,0,13.592368256649284,A. Abrashi,800000.0,11594.202898550724
26,63,64,1,0,80.0,40.0,47.0,53.0,64.0,66.0,0,1,0,0,13.122365377402328,A. Accardi,500000.0,7812.5
28,64,64,0,1,68.0,63.0,59.0,69.0,28.0,66.0,0,0,1,0,13.304686600863562,A. Achahbar,600000.0,9230.76923076923
27,63,63,0,1,72.0,63.0,47.0,64.0,19.0,61.0,0,0,0,1,13.171155446333852,A. Adam,525000.0,8203.125
22,65,74,9,0,79.0,62.0,46.0,63.0,27.0,71.0,0,0,0,1,14.285514812209815,A. Adams,1600000.0,24242.424242424244
34,62,62,0,1,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,11.289794413577894,A. Adanuy,80000.0,1269.8412698412699
22,63,63,0,1,66.0,46.0,52.0,58.0,60.0,68.0,0,0,1,0,13.122365377402328,A. Adebia,500000.0,7812.5
18,56,72,16,0,68.0,29.0,37.0,52.0,55.0,56.0,0,1,0,0,12.765691290604371,A. Adelgaard,350000.0,6140.350877192983
23,57,65,8,0,79.0,50.0,41.0,68.0,26.0,51.0,0,0,0,1,12.834683971615659,A. Ademi,375000.0,6465.517241379311
31,73,73,0,1,66.0,65.0,66.0,72.0,69.0,79.0,0,0,1,0,14.731801689838349,A. Ademi,2500000.0,33783.78378378379
24,63,68,5,0,81.0,57.0,52.0,65.0,29.0,55.0,0,0,1,0,13.493928313146206,A. Adetula,725000.0,11328.125
21,53,64,11,0,68.0,45.0,50.0,57.0,50.0,54.0,0,0,1,0,12.25486757159303,A. Adhikari,210000.0,3888.8888888888887
22,74,83,9,0,86.0,72.0,67.0,80.0,40.0,54.0,0,0,0,1,16.066802461833923,A. Adli,9500000.0,126666.66666666667
34,69,69,0,1,72.0,65.0,66.0,71.0,62.0,62.0,0,0,1,0,13.384729180332174,A. Adomah,650000.0,9285.714285714286
25,76,77,1,0,87.0,71.0,72.0,77.0,32.0,54.0,0,0,0,1,13.73755009757506,A. Afif,925000.0,12012.987012987012
34,64,64,0,1,58.0,58.0,68.0,65.0,46.0,64.0,0,0,1,0,12.524530013005734,A. Aganović,275000.0,4230.7692307692305
31,72,72,0,1,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,13.997832948091215,A. Aguerre,1200000.0,16438.35616438356
33,71,71,0,1,69.0,55.0,58.0,63.0,56.0,66.0,1,0,0,0,13.304686600863562,A. Aguilar,600000.0,8333.333333333334
21,62,70,8,0,55.0,26.0,40.0,49.0,62.0,64.0,0,1,0,0,13.623139877437296,A. Aguilar,825000.0,13095.238095238095
29,75,75,0,1,33.0,47.0,54.0,50.0,76.0,83.0,0,1,0,0,15.363073279446223,A. Aguilmera,4700000.0,61842.10526315789
21,50,58,8,0,61.0,27.0,32.0,46.0,49.0,50.0,0,1,0,0,11.51293546492023,A. Ahmed,100000.0,1960.7843137254902
18,58,80,22,0,73.0,46.0,53.0,61.0,27.0,49.0,0,0,1,0,13.384729180332174,A. Ahmed Fatah,650000.0,11016.949152542373
