short_name,age,overall,potential,player_positions,position_group,market_value_eur,pace,shooting,passing,dribbling,defending,physic,age_potential_gap,is_at_peak,value_per_rating
A. Abaz,20,52,65,GK,GK,170000.0,69.0,55.0,58.0,63.0,56.0,66.0,13,0,3207.5471698113206
A. Abdallah,24,64,69,"LB, LWB, LM",DEF,825000.0,79.0,37.0,55.0,62.0,58.0,66.0,5,0,12692.307692307691
A. Abdennour,32,65,65,CB,DEF,475000.0,49.0,53.0,56.0,51.0,65.0,71.0,0,1,7196.969696969697
A. Abdi,28,70,70,LWB,DEF,1400000.0,84.0,60.0,65.0,69.0,61.0,73.0,0,1,19718.309859154928
A. Abdijanovic,21,58,67,"ST, CF, CAM",ATT,450000.0,58.0,57.0,39.0,59.0,19.0,59.0,9,0,7627.118644067797
A. Abdu,25,64,65,ST,ATT,700000.0,62.0,65.0,48.0,61.0,20.0,60.0,1,0,10769.23076923077
A. Abdugheni,24,60,65,"RB, RWB",DEF,350000.0,74.0,42.0,49.0,59.0,57.0,69.0,5,0,5737.704918032787
A. Abdulai,19,55,69,"CDM, CM",MID,275000.0,57.0,32.0,52.0,51.0,49.0,60.0,14,0,4910.714285714285
A. Abdulraouf,18,50,68,ST,ATT,120000.0,67.0,48.0,42.0,52.0,18.0,42.0,18,0,2352.9411764705883
A. Abdusalam,19,53,63,LM,MID,200000.0,55.0,38.0,49.0,54.0,42.0,48.0,10,0,3703.703703703704
A. Abedzadeh,29,70,71,GK,GK,1200000.0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,16901.408450704224
A. Abeid,24,64,68,LB,DEF,775000.0,72.0,42.0,52.0,59.0,58.0,75.0,4,0,11923.076923076924
A. Abibi,25,55,57,GK,GK,120000.0,69.0,55.0,58.0,63.0,56.0,66.0,2,0,2142.8571428571427
A. Abid,18,58,75,"LM, CAM, RM",MID,525000.0,70.0,49.0,54.0,65.0,19.0,36.0,17,0,8898.305084745763
A. Abou,24,56,63,"CM, RM",MID,275000.0,61.0,46.0,52.0,56.0,46.0,53.0,7,0,4824.561403508772
A. Abqar,23,65,74,CB,DEF,1500000.0,47.0,31.0,46.0,51.0,66.0,64.0,9,0,22727.272727272728
A. Abrashi,32,68,68,"CDM, CM",MID,800000.0,52.0,50.0,57.0,60.0,67.0,73.0,0,1,11594.202898550724
A. Accardi,26,63,64,"CB, RB",DEF,500000.0,80.0,40.0,47.0,53.0,64.0,66.0,1,0,7812.5
A. Achahbar,28,64,64,"CAM, RW, ST",MID,600000.0,68.0,63.0,59.0,69.0,28.0,66.0,0,1,9230.76923076923
A. Adam,27,63,63,ST,ATT,525000.0,72.0,63.0,47.0,64.0,19.0,61.0,0,1,8203.125
A. Adams,22,65,74,ST,ATT,1600000.0,79.0,62.0,46.0,63.0,27.0,71.0,9,0,24242.424242424244
A. Adanuy,34,62,62,GK,GK,80000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,1269.8412698412699
A. Adebia,22,63,63,"CDM, CM",MID,500000.0,66.0,46.0,52.0,58.0,60.0,68.0,0,1,7812.5
A. Adelgaard,18,56,72,LB,DEF,350000.0,68.0,29.0,37.0,52.0,55.0,56.0,16,0,6140.350877192983
A. Ademi,23,57,65,"LW, RW",ATT,375000.0,79.0,50.0,41.0,68.0,26.0,51.0,8,0,6465.517241379311
A. Ademi,31,73,73,"CM, CDM",MID,2500000.0,66.0,65.0,66.0,72.0,69.0,79.0,0,1,33783.78378378379
A. Adetula,24,63,68,"LM, RM",MID,725000.0,81.0,57.0,52.0,65.0,29.0,55.0,5,0,11328.125
A. Adhikari,21,53,64,CM,MID,210000.0,68.0,45.0,50.0,57.0,50.0,54.0,11,0,3888.8888888888887
A. Adli,22,74,83,"ST, LM",ATT,9500000.0,86.0,72.0,67.0,80.0,40.0,54.0,9,0,126666.66666666667
A. Adomah,34,69,69,"RM, RWB",MID,650000.0,72.0,65.0,66.0,71.0,62.0,62.0,0,1,9285.714285714286
A. Afif,25,76,77,"LW, CF, CAM",ATT,925000.0,87.0,71.0,72.0,77.0,32.0,54.0,1,0,12012.987012987012
A. Aganović,34,64,64,"CM, RM",MID,275000.0,58.0,58.0,68.0,65.0,46.0,64.0,0,1,4230.7692307692305
A. Aguerre,31,72,72,GK,GK,1200000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,16438.35616438356
A. Aguilar,33,71,71,GK,GK,600000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,8333.333333333334
A. Aguilar,21,62,70,CB,DEF,825000.0,55.0,26.0,40.0,49.0,62.0,64.0,8,0,13095.238095238095
A. Aguilmera,29,75,75,CB,DEF,4700000.0,33.0,47.0,54.0,50.0,76.0,83.0,0,1,61842.10526315789
A. Ahmed,21,50,58,LB,DEF,100000.0,61.0,27.0,32.0,46.0,49.0,50.0,8,0,1960.7843137254902
A. Ahmed Fatah,18,58,80,LM,MID,650000.0,73.0,46.0,53.0,61.0,27.0,49.0,22,0,11016.949152542373
A. Ahmedhodžić,23,72,82,CB,DEF,4900000.0,78.0,34.0,60.0,63.0,70.0,77.0,10,0,67123.28767123287
A. Aidonis,21,61,69,"CB, RB",DEF,700000.0,55.0,31.0,41.0,48.0,62.0,61.0,8,0,11290.322580645161
A. Aiki,17,59,76,"RM, LM",MID,550000.0,70.0,53.0,48.0,64.0,25.0,39.0,17,0,9166.666666666666
A. Aires,18,59,74,"ST, RW",ATT,525000.0,69.0,63.0,43.0,60.0,18.0,51.0,15,0,8750.0
A. Ait El Hadj,20,69,79,"CAM, CM, RM",MID,3100000.0,73.0,58.0,68.0,76.0,44.0,63.0,10,0,44285.71428571428
A. Ajeti,25,69,73,ST,ATT,2000000.0,71.0,69.0,55.0,66.0,28.0,67.0,4,0,28571.428571428572
A. Akinola,22,65,73,ST,ATT,1600000.0,81.0,66.0,48.0,60.0,20.0,70.0,8,0,24242.424242424244
A. Akurugu,20,62,74,LB,DEF,925000.0,73.0,29.0,46.0,56.0,58.0,55.0,12,0,14682.539682539682
A. Al Aamri,27,58,61,GK,GK,200000.0,69.0,55.0,58.0,63.0,56.0,66.0,3,0,3389.830508474576
A. Al Ahrak,25,64,68,"CAM, CM",MID,925000.0,68.0,58.0,62.0,65.0,38.0,52.0,4,0,14230.76923076923
A. Al Alawi,25,55,59,LB,DEF,160000.0,71.0,25.0,49.0,50.0,48.0,59.0,4,0,2857.1428571428573
A. Al Ammar,28,66,66,"LB, LWB",DEF,775000.0,74.0,47.0,63.0,66.0,59.0,65.0,0,1,11567.164179104477
A. Al Amri,25,71,76,"CB, RB",DEF,2500000.0,70.0,30.0,50.0,48.0,68.0,82.0,5,0,34722.22222222222
A. Al Ayeri,18,56,73,"CDM, CM, RB",MID,350000.0,81.0,36.0,51.0,59.0,52.0,63.0,17,0,6140.350877192983
A. Al Barakah,31,62,62,"CDM, CM",MID,275000.0,57.0,46.0,54.0,60.0,59.0,71.0,0,1,4365.079365079365
A. Al Bishi,20,52,64,ST,ATT,190000.0,63.0,51.0,42.0,50.0,21.0,60.0,12,0,3584.9056603773583
A. Al Bishi,23,61,67,"CB, RB",DEF,475000.0,66.0,38.0,41.0,36.0,62.0,67.0,6,0,7661.290322580645
A. Al Bishi,28,69,69,"RM, LM",MID,1400000.0,89.0,59.0,62.0,72.0,28.0,65.0,0,1,20000.0
A. Al Bukhari,27,58,58,LB,DEF,200000.0,73.0,34.0,52.0,54.0,54.0,62.0,0,1,3389.830508474576
A. Al Bulayhi,32,69,69,"CB, LB",DEF,900000.0,48.0,37.0,38.0,44.0,67.0,81.0,0,1,12857.142857142857
A. Al Burayh,24,59,61,"LW, RW, CAM",ATT,300000.0,69.0,43.0,60.0,63.0,45.0,53.0,2,0,5000.0
A. Al Dhafeeri,17,46,63,CB,DEF,110000.0,61.0,22.0,26.0,32.0,45.0,57.0,17,0,2340.425531914894
A. Al Dohaim,28,61,61,CB,DEF,275000.0,64.0,41.0,45.0,48.0,59.0,71.0,0,1,4435.4838709677415
A. Al Enazi,19,50,64,"RW, LW",ATT,110000.0,66.0,42.0,43.0,53.0,25.0,45.0,14,0,2156.8627450980393
A. Al Fahad,28,64,64,CB,DEF,500000.0,73.0,46.0,51.0,54.0,63.0,72.0,0,1,7692.307692307692
A. Al Ghamdi,20,58,71,"LM, CM, RM",MID,500000.0,82.0,47.0,51.0,62.0,41.0,59.0,13,0,8474.57627118644
A. Al Habib,29,58,58,CB,DEF,170000.0,50.0,32.0,36.0,48.0,58.0,68.0,0,1,2881.35593220339
A. Al Hafith,29,64,64,CB,DEF,500000.0,33.0,36.0,49.0,45.0,63.0,74.0,0,1,7692.307692307692
A. Al Haider,25,60,65,"RB, LW, RW",DEF,325000.0,85.0,50.0,52.0,61.0,52.0,61.0,5,0,5327.868852459016
